backend,batch,heads,seq_len,head_dim,dtype,causal,avg_ms,tflops,max_abs_err,config,error
triton_v8_dispatch_fixed_best,1,32,2048,128,fp16,True,0.9811289978027343,35.037712330373644,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=3)",
triton_v9_autotune_table,1,32,2048,128,fp16,True,0.9811888122558594,35.03557638918107,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=3)",
flash_attn,1,32,4096,128,fp16,True,3.3949798583984374,40.492878790995796,,,
torch_sdpa_auto,1,32,4096,128,fp16,True,3.44754150390625,39.87551933696411,,,
torch_sdpa_cudnn,1,32,4096,128,fp16,True,3.4399462890625,39.96356232104596,,,
torch_sdpa_efficient_cutlass,1,32,4096,128,fp16,True,5.4376763916015625,25.281480177144218,,,
torch_sdpa_flash_pytorch,1,32,4096,128,fp16,True,3.4496624755859373,39.85100248993194,,,
triton_v0_baseline,1,32,4096,128,fp16,True,7.89662109375,17.409029288844366,,,
triton_v1_codegen_hints,1,32,4096,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,4096,128,fp16,True,7.774810791015625,17.681781794980754,,"BLOCK_M: 128, BLOCK_N: 32, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v3_fixed_best,1,32,4096,128,fp16,True,,,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=4)","out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,4096,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,4096,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,4096,128,fp16,True,3.5566754150390625,38.651969005299335,,"BLOCK_M: 128, BLOCK_N: 64, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v7_fixed_best_cutoff,1,32,4096,128,fp16,True,6.446683349609375,21.324532391113934,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v8_dispatch_fixed_best,1,32,4096,128,fp16,True,3.5565972900390626,38.652818042969976,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=3)",
triton_v9_autotune_table,1,32,4096,128,fp16,True,3.5568402099609373,38.65017818877778,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=3)",
